Institution name,Region,Institution type,Medical Dep,Sociology,Agri Dep,Business dep,Collaboration with in-country decision makers, current relationship/partnership with government,past relationship/partnership with government or current relationship with other major research instititions,"no govt collaboration, no current partnerships with other major research institutions ",information is not readily available online,Existing public health research capacity,Strength of capacity building efforts (especially for women),Adminstrative capacity to manage large grants,Total Score of 4 Criteria,Number of awards ,National centers for excellence,PI awards form top WHO list,African union award ,Overall award score,Specialized research lab,Specific library to students,Digital research spaces and resources to students,Institutional ethics review,Digital research spaces and resources to students2,Input Overall Input Score,Publications ,Overall Research Score,Completed atleast one international grant,Completed atleast one international grant3,Access to financial audits,Overall International/National Donors & Grants Score,number of collaborations,Faculty/institution directly advises Ministry of Health,Overall Collaboration Score,Input Overall Output Score,Input percentage of students or trainees who are awarded  religious and ethnic minority fellowships,Column4,Institution wide policies available,percentage that are female and that receive  fellowships,Percentage of female faculty,Gender ratio for students/trainees,Policies/outreaches to increase number of female students,Overall Equal Opportunity Score,"Number of grey articles published, in health sciences",Participation in national institution similar to national science committee,Participation in regional/international institutions to help design public health policies,Overall Policy Impact Score,Input Overall Impact Score,Overall Score
University of Nairobi,Kenya,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,3,3,12,7,1,1,1,4,1,0,1,1,5,2,6146,4,1,1,0,4,39,1,5,13,0,0,0,0,52,0,1,5,4861,1,1,5,10,25
University of Namibia,Namibia,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,2,3,11,0,0,0,0,1,1,1,1,1,5,6,887,0,1,0,1,4,7,0,2,6,0,0,1,0.615384615,0.653846154,0,1,5,60,0,0,5,10,22
University of Pretoria,South Africa,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,3,3,3,12,5590,1,0,0,4,1,1,1,1,5,9,6528,4,1,1,1,5,190,1,5,14,0,0,1,0,0,0.5675,0,3,42,1,1,5,8,31
University of Sierra Leone,Sierra Leone,Academic and Research Institutions,Yes,Yes,No,No,3,1,0,0,0,3,3,3,12,3,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13
University of South Africa,South Africa,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,3808,0,0,1,5,1,1,1,1,5,10,12437,5,1,1,1,5,3,0,1,11,0,0,0,0,0,0.66,1,1,0,1,0,0,1,22
University of the Free State,South Africa,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,1651,1,0,0,5,1,1,1,1,5,10,15759,5,1,1,1,5,736,1,5,15,0,1,1,0,0,0,1,1,7,1,1,1,2,27
University of the Western Cape,South Africa,Academic and Research Institutions,Yes,Yes,No,Yes,3,1,0,0,0,3,3,3,12,121,1,1,1,5,1,1,1,1,5,10,4022,3,1,1,1,5,22,1,4,12,0,1,1,0.52,0,0.6121,1,4,78,1,1,3,7,29
University of the Witwatersrand,South Africa,Academic and Research Institutions,Yes,No,No,Yes,3,1,0,0,0,3,3,3,12,2000,1,0,0,4,1,1,1,1,5,9,7013,4,1,1,1,5,26,1,5,14,0,0,1,0,0,0.5464,0,3,132,1,1,5,8,31
University of Tripoli (Al Fateh University),Libya,Academic and Research Institutions,Yes,No,Yes,No,3,1,0,0,0,2,2,3,10,2,0,0,0,1,1,1,1,1,5,1,0,0,1,1,0,5,1,1,1,6,0,0,0,0,0,0,0,0,792,1,1,1,1,0
University of Zimbabwe,Zimbabwe,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,3,12,116,0,0,0,5,1,1,1,1,5,10,215,0,1,1,0,5,28,1,5,10,0.4,1,1,0.4,0,0.901,1,4,17,1,0,1,5,25
"Upper Nile University, Malakal, 1991",South Sudan,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,2,3,11,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Sisulu University,South Africa,Academic and Research Institutions,Yes,No,Yes,Yes,3,1,0,0,0,2,3,3,11,247,0,0,0,1,1,1,1,1,5,6,302,0,1,1,1,5,54,0,4,9,0,0,1,0,0,0,0,1,29,1,1,5,6,21
Welkete University,Ethiopia,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,1,0,0,0,1,1,1,1,1,5,6,203,0,0,0,0,3,10,0,2,5,0,0,1,0,0,0,0,1,1050,1,0,5,6,17
Welwitchia Health Training Centre (WELWITCHIA),Namibia,Academic and Research Institutions,Yes,No,No,No,3,1,0,0,0,3,3,1,10,0,0,0,0,0,0,1,1,0,3,3,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Wolkite University,Ethiopia,Academic and Research Institutions,Yes,Yes,Yes,Yes,3,1,0,0,0,3,3,2,11,1,0,0,0,1,1,1,1,1,5,6,203,0,0,0,0,3,10,0,2,5,0,0,1,0,0,0,0,1,1050,1,0,5,6,17
Zanzibar University,Tanzania,Academic and Research Institutions,Yes,No,No,Yes,2,0,1,0,0,2,3,3,10,0,1,0,0,0,1,1,1,0,4,4,169,0,1,1,0,5,5,1,2,7,0,0,0,0,0,38.62,0,0,4,1,0,1,1,12
Zimbabwe Economic Policy Analysis and Research Unit,Zimbabwe,Research Counsils,No,No,No,Yes,3,1,0,0,0,3,1,3,10,1,0,0,0,1,0,0,0,0,1,2,4,0,0,1,1,4,6,0,2,6,0,0,1,0,0,0,0,2,0,0,0,0,2,10
